gender,age,survey_score,days_member,days_last_visit
M,50,3,218,13
M,26,8,261,0
F,60,2,79,79
M,43,2,244,31
M,39,8,30,1
M,36,3,361,49
F,47,2,103,24
F,53,3,63,63
F,37,8,323,4
F,41,3,188,39
M,24,7,65,4
M,33,8,177,7
M,40,3,85,34
M,35,8,172,10
F,48,3,197,36
F,31,9,170,10
M,32,8,148,19
F,30,8,146,4
M,26,9,188,3
M,37,7,224,6
M,33,8,188,21
F,58,1,328,65
M,38,9,216,18
F,26,7,327,3
M,44,3,295,0
M,33,7,263,10
F,44,2,37,37
M,61,2,136,40
M,47,4,193,36
F,61,1,262,97
F,58,1,162,71
M,56,2,357,36
F,45,3,148,45
F,30,8,30,13
F,44,2,347,34
F,33,7,231,11
M,50,3,346,16
F,35,8,313,5
M,47,2,104,15
F,59,1,359,118
F,34,7,52,10
M,28,8,245,2
M,54,1,247,99
F,34,8,81,6
F,18,7,237,2
F,36,8,49,13
M,42,4,258,38
F,40,2,183,27
F,53,2,311,101
M,36,7,136,9
M,24,9,51,4
M,43,3,183,36
F,26,8,30,3
M,31,9,43,13
F,56,2,363,18
F,20,7,224,2
M,35,7,30,6
M,50,3,65,65
F,23,7,30,3
F,64,2,228,76
M,49,3,215,35
M,45,3,226,43
M,25,8,63,0
M,23,8,322,1
M,41,3,169,20
F,46,3,81,29
M,36,9,314,8
M,44,3,242,58
M,43,3,30,30
M,29,8,32,3
M,33,8,127,11
M,62,1,166,61
M,59,1,105,16
M,35,8,128,3
F,57,1,102,3
F,39,3,232,25
F,53,2,148,21
F,65,1,293,45
F,23,10,249,2
F,42,4,152,2
F,58,3,234,116
M,34,8,153,11
M,27,8,193,7
M,44,3,241,38
M,45,3,205,10
M,30,7,329,9
M,58,2,78,78
M,33,8,254,1
F,26,8,245,0
F,25,9,145,1
F,33,8,270,18
F,41,2,365,23
F,48,3,30,30
F,27,8,168,2
M,45,2,327,34
M,43,3,219,36
F,36,7,129,5
M,48,3,319,43
M,19,8,97,5
F,43,3,252,43
M,33,7,137,15
M,21,7,80,2
F,51,1,119,103
F,31,8,266,6
M,29,7,30,2
M,52,2,30,30
F,38,2,30,30
M,60,1,87,87
M,48,3,242,42
F,33,8,248,10
M,49,2,120,33
F,61,1,223,3
F,47,2,51,21
F,39,3,257,40
F,44,2,88,5
F,23,8,214,3
M,47,3,361,35
M,57,2,145,53
F,46,4,219,40
M,44,3,174,35
M,60,1,106,18
F,35,8,347,20
F,33,9,211,14
F,22,8,208,2
M,40,3,190,32
M,36,9,244,7
M,35,8,243,14
M,50,3,30,30
F,20,8,229,0
F,44,2,69,37
F,42,2,227,30
F,39,3,30,15
M,33,8,257,5
F,31,9,43,0
F,38,3,114,54
M,58,1,315,86
F,35,8,194,0
F,47,4,30,30
M,24,9,235,2
M,64,1,30,30
M,25,8,30,2
F,47,3,230,45
F,44,3,170,32
M,45,4,63,20
F,51,2,30,30
M,57,3,291,150
M,35,9,276,13
M,46,3,99,51
F,25,7,181,3
F,58,2,249,113
M,35,9,66,8
F,37,8,162,9
F,44,3,181,56
M,29,8,181,1
F,41,3,319,26
F,44,2,156,49
M,26,8,142,1
F,48,3,72,24
M,34,7,80,11
F,35,7,319,12
F,37,2,30,30
M,43,3,313,53
M,33,8,129,22
F,44,2,213,18
M,44,3,210,45
M,37,9,57,10
M,23,7,133,2
M,43,4,62,47
F,28,7,30,2
F,47,4,164,33
M,37,7,131,14
F,33,7,206,13
M,51,1,30,30
M,33,7,102,16
F,48,4,147,61
F,47,2,141,49
M,37,8,213,14
M,34,8,172,15
F,37,8,178,10
F,23,8,295,3
M,39,3,212,26
M,43,3,193,47
F,21,7,129,1
M,42,3,30,30
F,34,8,181,6
M,29,7,167,0
F,33,8,66,2
M,22,9,121,1
M,28,7,48,2
M,54,1,151,51
M,40,4,333,23
M,41,4,37,37
M,38,3,30,30
M,33,9,359,13
F,33,8,237,5
F,43,2,339,22
F,37,8,30,6
M,23,8,363,3
F,43,4,338,0
M,62,2,232,84
F,34,7,30,12
M,26,8,178,3
M,36,8,282,19
M,22,7,35,0
M,32,8,241,10
F,23,8,138,1
M,57,1,305,19
M,42,3,360,62
M,21,7,363,0
M,38,3,185,40
M,51,1,93,90
F,46,2,116,47
M,35,7,127,8
M,33,8,359,14
M,47,2,91,37
F,37,7,259,3
M,44,4,226,22
F,55,2,282,144
M,35,8,192,24
F,61,1,176,45
F,39,3,213,0
M,22,9,75,2
M,60,2,274,179
M,49,3,204,17
F,43,3,39,39
M,43,2,161,19
M,33,8,289,5
M,49,2,118,18
M,58,1,130,77
F,61,3,233,97
F,45,2,278,13
F,36,3,293,67
M,32,8,165,3
M,41,4,99,22
M,47,2,131,0
M,40,4,308,25
M,44,4,223,0
F,35,8,324,4
M,32,9,292,10
M,61,2,255,83
F,50,2,30,30
F,51,2,233,96
F,43,3,229,36
F,54,2,363,82
M,47,2,99,48
M,44,2,81,31
F,32,7,238,12
M,33,9,225,2
M,51,2,300,53
F,33,8,265,3
M,22,9,151,5
M,47,3,279,28
M,27,8,30,4
F,26,9,146,4
F,22,7,317,2
M,42,2,96,31
M,61,1,64,64
M,37,9,113,5
F,57,2,172,129
M,49,3,219,38
M,35,8,159,1
F,56,2,226,80
F,32,9,210,15
M,22,8,92,0
F,50,3,321,58
M,26,7,136,5
F,19,8,125,1
F,42,3,365,42
M,27,8,361,3
M,54,3,231,87
M,31,8,261,7
F,59,2,97,86
F,28,8,120,3
F,59,1,38,28
M,35,7,268,6
M,31,7,85,6
F,32,8,364,14
M,25,9,101,2
F,36,3,86,39
F,55,1,187,59
M,34,8,167,3
M,57,1,211,43
F,39,4,98,33
M,59,2,132,50
F,47,3,198,37
M,37,3,224,35
F,21,8,328,3
M,34,9,304,9
F,47,3,365,53
M,53,3,213,111
F,57,3,234,74
F,41,4,30,22
M,44,2,219,56
M,57,1,30,30
F,56,1,277,69
M,60,1,200,92
M,29,8,252,4
M,43,3,235,14
F,54,1,247,69
M,45,2,177,39
M,36,4,255,23
M,30,8,219,2
M,36,7,232,6
M,36,3,312,37
M,29,8,295,0
F,33,7,353,12
F,37,8,49,4
F,26,8,141,1
F,26,8,80,1
M,65,2,98,39
M,27,8,245,3
M,59,2,142,85
M,43,3,227,30
M,47,3,119,22
M,25,9,130,4
M,47,2,78,45
F,42,3,365,29
M,51,1,351,117
M,30,9,231,10
M,32,8,152,18
F,38,9,236,6
M,42,3,95,44
M,51,2,213,54
F,43,3,75,65
M,57,2,309,125
F,36,9,166,12
M,57,1,308,107
M,32,8,112,5
M,60,2,229,24
F,50,3,87,5
M,24,8,363,3
F,43,4,128,44
M,36,3,210,1
M,25,9,129,3
F,64,2,150,7
M,31,8,236,13
M,45,3,70,29
F,40,2,158,50
M,25,8,208,1
F,25,8,289,1
F,45,3,147,35
M,34,8,203,1
F,39,2,236,25
M,56,1,173,83
M,39,3,69,10
F,60,2,180,73
M,45,3,174,23
F,31,8,355,9
F,35,8,111,15
F,28,8,364,5
M,55,2,106,100
M,52,1,217,186
F,38,9,191,1
M,40,4,160,16
F,23,8,38,0
M,26,7,68,2
M,39,8,146,9
M,50,4,265,10
F,36,8,100,18
F,42,2,207,22
M,65,1,154,115
F,45,3,122,30
F,31,8,262,10
M,33,7,87,10
F,41,3,43,34
F,38,3,30,16
M,57,2,183,122
F,35,9,364,13
F,31,8,298,16
M,27,8,362,6
M,59,1,104,87
F,38,3,30,30
F,43,2,198,39
F,24,7,195,0
M,40,2,43,34
F,21,8,364,1
M,56,2,86,14
M,51,1,143,128
F,45,3,285,59
F,38,2,152,0
F,36,8,169,9
M,36,8,190,7
F,47,3,30,30
F,62,2,143,25
M,45,4,261,17
M,55,1,121,106
F,64,2,142,48
F,65,2,30,30
M,25,8,125,3
F,24,7,76,3
M,32,9,88,6
F,38,2,263,35
F,42,4,100,59
M,38,8,223,1
M,38,3,210,57
F,35,8,249,5
F,26,7,193,3
M,29,8,284,2
M,26,8,217,2
F,22,8,148,0
F,43,3,30,26
M,29,9,251,0
M,23,8,298,0
F,44,2,63,22
F,40,3,30,30
M,32,7,359,10
M,44,2,66,12
F,44,3,365,63
M,34,8,236,6
F,49,4,230,43
M,23,7,104,4
M,46,2,58,28
F,55,1,298,17
M,40,3,30,21
F,28,6,239,0
F,22,7,87,3
F,50,2,237,15
M,41,3,93,15
F,58,2,260,104
F,44,3,30,30
F,25,8,182,1
F,57,2,179,31
M,55,2,139,94
M,53,1,143,38
F,36,8,283,11
M,32,9,30,16
M,41,3,361,42
F,33,8,189,7
F,44,3,323,14
M,32,8,128,10
M,32,8,255,9
F,49,2,218,63
M,42,4,238,33
M,44,3,131,44
F,18,8,182,3
F,45,3,319,39
F,46,4,231,26
M,25,7,30,2
F,55,1,43,36
M,26,8,165,1
F,20,8,258,3
M,32,9,246,6
M,21,8,146,4
M,50,3,280,1
F,37,3,184,27
M,40,3,185,20
F,45,4,139,40
F,41,3,302,46
M,47,2,91,33
F,19,9,270,1
M,55,2,305,101
M,34,7,134,16
M,54,2,362,126
M,36,9,192,5
M,65,3,223,82
M,60,1,83,83
M,29,8,102,3
F,58,1,195,71
M,43,3,261,30
F,37,7,180,11
F,24,8,127,4
F,24,9,30,4
F,35,8,226,16
M,32,10,119,12
F,41,3,66,2
M,31,8,172,7
F,59,1,134,24
M,39,3,30,27
M,32,9,30,8
M,42,3,246,46
M,56,1,196,22
F,28,7,364,3
F,25,8,364,2
F,28,7,352,2
M,26,8,90,3
M,39,3,129,65
M,42,3,256,8
M,21,8,133,3
F,22,7,223,2
F,52,2,199,23
F,43,3,86,21
M,23,7,166,2
M,57,2,302,95
F,37,7,364,14
M,64,2,30,30
M,58,1,245,80
M,54,2,147,80
M,53,2,190,131
F,35,8,187,20
M,45,3,274,47
F,42,3,135,10
M,45,2,267,30
F,25,9,79,0
F,41,3,103,34
F,39,8,30,16
M,61,2,50,50
F,37,3,87,50
F,54,2,30,30
M,36,3,361,14
M,45,3,269,58
M,37,9,89,8
M,30,8,125,17
M,57,2,162,3
M,36,9,253,8
M,53,3,362,103
M,35,8,246,9
M,60,2,183,43
M,62,2,242,136
M,31,8,216,11
M,57,1,256,82
M,42,3,113,22
M,23,8,228,1
F,42,2,208,38
F,26,8,68,0
F,29,7,364,2
F,32,8,228,8
F,43,3,266,42
M,37,4,236,16
M,41,2,158,10
F,26,8,30,3
M,40,3,322,24
M,60,3,237,48
F,29,9,205,2
F,33,7,188,17
F,42,2,118,24
F,35,9,183,10
F,33,7,251,8
F,21,8,119,1
M,29,9,101,2
F,43,2,213,61
M,27,8,292,4
F,58,1,30,29
F,57,1,30,30
F,47,3,206,31
F,45,3,365,50
F,58,2,352,62
M,37,3,30,29
M,64,1,30,30
M,25,8,209,3
M,34,8,231,16
F,46,3,272,32
F,21,9,131,0
M,23,6,30,0
M,35,9,216,1
M,48,3,60,37
F,35,9,206,12
M,51,1,150,44
M,48,3,37,37
F,37,9,296,5
F,60,2,178,162
F,19,9,30,2
M,61,2,160,110
F,55,2,313,43
F,43,3,79,16
M,58,2,30,20
M,61,2,281,70
M,38,8,151,5
M,32,8,90,13
F,40,3,219,58
M,51,2,216,108
M,57,2,80,80
F,36,8,37,3
M,33,7,276,18
M,49,3,262,34
F,45,3,140,21
M,39,8,138,2
F,21,9,156,3
M,18,7,58,2
F,37,3,30,12
M,40,3,165,7
F,55,2,30,30
M,35,8,125,1
M,60,1,82,82
F,57,1,173,138
M,48,2,147,58
M,39,8,125,13
F,56,2,115,67
M,43,3,100,46
M,39,3,224,6
M,41,3,252,48
F,31,8,296,1
F,40,2,330,35
F,34,9,250,11
M,41,3,144,43
F,23,7,254,4
M,58,2,68,68
M,58,2,293,112
M,34,8,182,12
M,61,1,325,72
M,61,1,36,36
M,61,1,204,104
F,28,8,267,0
M,53,2,346,144
M,41,3,103,25
M,46,4,30,30
M,38,3,172,20
M,36,8,227,1
M,23,8,120,3
M,50,3,285,39
M,35,10,208,13
M,32,7,201,7
M,45,3,195,14
M,39,3,277,70
M,55,1,30,30
F,58,2,102,3
M,32,7,352,1
F,56,1,323,113
M,46,2,170,13
F,24,7,38,2
M,54,2,362,107
M,29,8,164,2
M,27,8,143,3
M,20,8,102,0
F,23,8,294,2
F,48,3,148,51
F,45,4,38,14
F,63,2,50,35
F,43,3,243,27
M,39,8,121,13
F,57,3,92,44
F,35,9,206,7
F,43,3,104,28
F,62,2,263,66
M,46,2,120,38
F,33,9,167,14
F,59,3,30,30
F,38,7,182,14
F,34,8,302,9
M,49,2,196,46
F,58,1,186,23
F,36,8,69,15
M,21,9,310,1
F,35,8,189,9
F,26,8,349,3
M,46,4,203,46
M,56,2,215,104
M,39,8,315,23
F,35,9,177,7
M,34,8,85,3
M,48,3,191,43
M,27,8,146,2
F,57,2,297,102
M,50,2,103,43
M,44,3,189,32
F,59,3,221,57
M,36,9,86,19
M,42,3,215,33
F,23,7,166,6
M,40,3,288,20
M,43,3,93,17
M,42,4,361,0
F,34,8,140,13
M,55,2,84,84
M,59,1,84,84
M,36,8,134,13
M,34,9,341,14
F,62,1,158,65
M,44,3,361,53
F,31,8,364,2
F,33,9,155,5
F,47,3,306,29
M,34,7,166,5
F,52,2,256,162
F,38,3,311,39
M,46,2,66,7
F,42,3,307,0
M,50,2,287,3
F,21,9,118,2
M,61,2,138,90
F,47,3,117,43
F,42,2,146,23
F,26,8,30,3
M,51,1,248,45
M,35,9,30,3
M,59,1,330,164
F,47,3,365,28
F,34,8,30,11
F,38,8,175,3
F,61,2,30,30
M,21,8,131,6
M,26,8,78,4
M,44,3,311,59
F,53,2,150,117
M,35,9,186,6
M,38,7,322,9
M,29,8,242,2
M,30,8,168,18
M,40,4,337,49
M,41,3,308,30
F,59,1,260,144
M,34,9,224,12
M,25,8,234,1
M,34,8,236,1
M,27,8,58,1
M,23,7,342,1
M,35,7,133,14
M,46,3,126,52
M,36,8,163,20
M,44,3,140,57
M,46,3,170,39
F,50,3,30,16
M,34,8,330,11
M,32,7,44,10
M,57,1,180,3
M,36,9,217,15
M,32,7,186,4
F,59,1,40,40
F,44,3,143,30
F,33,8,87,4
M,40,3,272,38
M,40,3,80,13
M,23,8,363,3
M,35,9,230,16
M,38,2,171,31
M,60,2,128,82
M,21,8,30,2
M,51,1,276,60
M,20,8,227,3
F,61,1,99,77
F,38,7,229,15
M,57,2,236,140
M,42,3,201,48
M,44,2,98,10
M,54,1,121,119
F,21,7,30,2
F,37,8,244,10
F,34,9,364,5
F,36,7,267,9
F,26,7,165,4
F,48,3,182,32
F,61,1,141,134
M,32,8,121,16
M,61,3,327,3
M,52,1,169,47
M,32,8,320,16
M,41,4,192,44
M,34,8,359,4
M,44,3,30,30
F,51,1,174,107
F,40,3,72,44
M,55,2,204,56
F,33,8,364,7
M,34,7,250,1
M,46,3,30,21
F,51,2,61,61
M,31,8,129,1
M,23,9,30,1
F,49,2,221,10
F,43,3,196,14
F,24,7,172,4
M,43,2,316,16
F,34,8,364,6
M,33,7,139,6
M,45,2,115,6
F,48,3,108,38
M,26,7,248,2
F,37,7,332,18
M,44,3,30,30
F,46,3,157,41
M,44,3,226,30
M,25,7,170,1
M,42,2,361,34
F,36,3,110,45
M,44,2,361,38
M,24,7,363,2
F,34,9,207,9
M,24,8,58,5
F,36,8,360,13
F,22,9,154,3
F,39,9,117,12
F,35,9,155,0
F,30,9,189,15
M,35,8,129,20
M,27,8,261,3
F,39,3,164,48
M,61,2,132,113
M,23,7,72,4
M,64,1,72,50
M,29,7,323,2
F,44,3,357,30
M,45,3,58,49
M,64,4,30,30
F,35,9,183,9
F,59,2,297,83
M,42,3,312,34
M,34,8,52,23
F,36,3,354,22
M,31,7,30,1
F,44,3,214,46
M,63,1,296,58
F,28,8,153,2
F,36,3,365,7
F,60,1,216,48
F,43,3,96,38
F,24,8,30,1
M,42,2,361,27
M,40,3,30,30
M,46,3,53,34
M,28,8,363,2
M,38,3,282,35
M,60,2,342,186
M,27,8,363,5
M,27,6,363,2
M,35,9,77,11
F,42,2,49,39
M,56,2,194,143
F,44,2,328,27
F,59,2,291,123
M,48,2,48,18
M,60,3,30,30
F,35,10,145,13
M,25,8,354,5
M,38,8,45,6
M,62,2,124,46
M,45,3,202,45
M,34,8,139,14
F,50,3,257,16
F,21,8,143,2
F,26,8,252,1
M,27,8,209,3
M,51,1,227,44
M,40,4,137,44
F,61,1,363,97
M,28,7,112,0
M,21,8,176,3
M,43,3,50,50
F,53,2,80,80
M,31,9,30,21
F,20,9,198,3
M,43,4,118,49
M,61,2,362,65
F,24,8,295,2
F,44,4,235,13
M,20,8,305,1
F,42,4,30,30
F,35,9,143,17
F,32,8,152,19
M,27,8,226,4
M,58,1,265,3
M,22,7,194,2
F,22,8,177,3
F,25,8,355,3
M,62,2,57,57
M,59,2,30,30
M,25,7,143,1
M,25,9,40,4
M,27,8,30,2
M,48,3,249,38
M,34,8,272,8
F,42,2,30,30
F,58,1,158,15
M,38,2,157,39
M,27,8,214,1
M,58,2,94,82
F,51,1,255,95
M,55,2,30,30
M,49,3,205,52
M,32,8,211,17
M,46,3,227,62
M,20,8,135,2
F,35,9,252,8
M,26,8,363,5
M,26,8,122,1
M,46,3,247,34
M,42,3,135,0
F,44,4,278,25
M,32,9,178,14
M,29,9,214,2
M,21,9,73,0
M,54,1,136,36
M,64,2,299,125
M,45,3,182,31
F,22,7,35,2
F,29,9,192,0
F,44,2,251,38
F,34,8,76,2
M,35,8,213,10
F,44,3,160,12
F,43,3,74,42
F,34,7,100,1
F,39,3,270,32
M,63,1,266,138
F,61,1,152,54
M,43,3,181,44
M,26,8,209,4
M,46,3,300,16
M,43,2,181,16
F,25,9,314,2
F,58,2,255,154
F,37,8,154,5
F,56,2,321,94
M,62,1,362,111
F,56,3,219,93
F,34,8,331,7
F,46,3,159,13
F,32,8,183,17
F,59,2,47,47
M,50,2,238,32
F,44,4,232,27
F,26,8,165,2
F,41,2,322,17
F,44,2,201,33
M,37,6,279,11
F,60,2,161,140
M,41,3,43,32
M,41,3,106,30
F,32,8,255,18
F,56,2,175,58
F,65,2,313,108
M,44,4,137,29
F,48,3,30,12
F,36,8,172,10
M,40,2,127,60
M,58,1,256,142
M,19,7,149,3
F,57,1,193,96
F,24,9,334,1
M,32,7,287,1
M,42,3,106,0
M,38,4,66,36
F,57,2,215,78
M,38,8,166,13
M,40,4,117,20
M,33,8,30,7
M,44,2,295,63
M,65,2,30,30
M,37,8,283,14
M,61,3,193,70
F,21,8,181,0
F,20,7,301,1
M,34,7,175,17
F,43,3,132,27
M,46,2,255,33
F,39,3,122,25
F,39,8,299,9
M,54,2,277,101
M,32,8,332,9
M,53,2,279,99
M,40,3,144,6
M,36,8,336,10
M,45,3,259,32
M,37,9,200,4
F,33,8,127,1
M,57,2,222,114
M,32,7,128,14
F,35,8,227,10
F,48,3,250,55
M,42,2,205,14
M,36,9,30,19
M,32,8,58,13
F,26,8,356,3
F,42,2,302,37
F,23,9,259,0
M,37,9,322,1
F,29,8,103,3
M,49,3,237,48
F,21,7,81,4
M,35,7,263,8
F,24,7,238,0
F,26,7,256,0
F,35,8,260,3
M,39,7,30,8
F,43,4,145,70
F,45,2,234,37
M,34,8,242,4
F,24,8,296,3
F,59,2,246,73
M,54,1,30,30
M,41,3,43,3
M,41,3,204,49
F,35,7,75,9
F,50,4,183,35
M,64,1,307,96
F,36,2,30,23
M,35,8,190,10
F,32,8,258,16
M,25,8,148,4
F,33,7,221,3
M,48,3,255,19
F,24,7,221,0
M,50,4,110,22
M,44,3,198,41
M,37,10,258,22
M,49,3,30,30
M,41,3,76,22
M,28,9,363,3
M,39,4,265,45
F,44,4,365,12
F,39,7,290,11
F,18,7,99,0
F,37,9,207,5
M,50,3,272,12
M,26,8,218,0
M,58,2,145,97
F,45,4,312,35
F,45,3,252,18
M,44,3,326,35
M,25,8,145,4
F,54,1,272,74
F,44,4,277,26
M,34,8,62,4
M,37,7,227,16
F,31,8,156,0
M,51,1,362,183
F,28,7,340,4
M,50,3,140,39
F,31,9,364,10
M,34,9,164,1
F,41,3,229,31
F,32,9,146,11
F,32,8,154,1
F,25,10,242,0
F,45,3,273,45
M,42,3,150,49
F,38,3,308,5
F,43,3,53,38
M,40,3,259,23
F,53,1,216,119
M,56,2,163,82
M,32,8,214,18
F,55,1,363,73
M,43,4,296,40
F,40,2,215,38
M,26,7,292,3
M,29,8,363,1
F,44,3,143,44
M,42,4,69,27
F,36,7,269,8
F,39,8,67,3
M,65,2,112,81
M,35,7,128,10
M,53,1,67,67
M,27,8,63,1
M,23,9,318,5
M,49,4,34,34
F,34,9,141,4
M,31,7,170,8
M,35,8,151,11
M,24,8,136,3
F,59,3,83,41
F,40,3,98,60
F,65,1,161,161
F,38,10,351,7
M,57,1,96,43
M,53,1,132,81
F,40,3,48,22
F,61,2,63,63
M,57,1,30,30
M,55,2,135,86
F,53,2,179,107
M,37,9,185,25
M,27,6,83,3
F,38,3,176,59
M,61,1,181,6
M,45,3,191,66
M,65,1,30,30
F,43,2,61,8
M,49,4,137,18
F,33,8,70,3
M,34,8,92,11
F,58,2,279,43
M,60,2,128,128
M,39,2,125,24
F,42,4,30,12
F,45,3,349,41
M,36,7,143,7
F,39,4,30,30
M,40,3,120,27
F,36,8,107,16
F,53,2,276,116
F,39,3,177,38
F,61,2,30,30
F,29,7,341,1
F,40,2,291,49
F,43,4,285,43
F,33,9,91,12
M,50,3,30,30
M,51,1,208,118
M,65,1,121,60
F,33,9,364,5
M,36,3,143,46
F,42,3,36,9
M,37,8,47,2
M,23,8,169,2
M,41,3,169,43
M,47,4,266,52
M,61,1,362,43
F,26,8,221,0
M,44,3,119,59
F,21,7,260,3
F,31,8,121,10
M,30,7,137,13
M,43,2,361,32
F,51,2,150,145
F,34,7,257,19
M,47,4,224,35
M,47,3,43,15
M,42,3,292,19
F,43,3,143,55
M,56,2,30,30
M,33,7,246,4
M,32,8,155,20
M,26,9,184,0
M,55,1,203,49
F,59,1,133,91
F,25,9,364,2
M,65,3,362,50
M,42,3,246,32
M,38,7,121,17
F,50,3,250,37
M,34,8,80,6
F,41,2,188,24
F,47,3,137,31
M,46,4,271,23
M,46,3,94,33
F,42,2,30,28
F,45,2,248,22
M,39,7,46,1
F,53,1,64,64
F,30,7,196,10
M,36,7,161,10
M,53,2,362,92
M,56,1,96,5
M,32,10,234,6
M,58,1,218,101
M,42,3,133,29
F,22,8,111,2
F,38,8,224,9
M,46,3,99,53
M,31,9,157,6
F,34,8,254,7
F,48,2,141,29
M,45,3,34,34
F,56,2,188,68
F,59,1,130,116
M,61,2,76,53
F,33,9,220,9
M,59,2,275,114
M,60,2,263,76
M,32,7,174,15
F,39,8,323,21
M,45,3,171,51
F,26,8,238,1
M,35,7,244,10
F,39,2,279,25
F,41,2,30,30
M,56,2,362,69
F,50,3,178,28
F,23,7,97,6
F,33,9,184,14
F,39,8,163,13
F,20,8,364,1
M,26,8,246,3
F,23,8,50,1
M,44,3,117,21
M,36,10,140,9
F,50,4,215,38
M,53,1,136,88
F,32,7,364,11
F,55,1,149,49
M,42,3,95,37
F,35,7,238,4
F,32,7,235,7
M,61,1,118,118
M,40,4,219,39
M,61,2,166,44
M,48,2,79,15
F,57,1,345,70
F,25,8,351,4
M,42,4,194,56
F,25,9,49,4
M,44,3,117,70
M,48,3,183,27
F,33,8,281,15
M,59,1,168,100
F,32,8,231,18
F,48,3,135,43
M,44,3,30,30
M,29,7,205,3
M,50,3,182,49
M,42,3,271,53
F,43,3,30,25
F,41,3,144,23
M,44,3,193,7
F,64,1,150,73
M,42,3,300,49
F,44,3,30,24
F,47,3,66,50
M,27,8,228,5
M,35,7,157,4
M,54,2,248,132
M,44,3,325,36
M,56,1,119,85
F,40,2,36,27
M,19,8,102,2
F,58,1,119,108
F,41,3,313,0
F,38,9,49,11
F,50,4,30,30
M,63,1,263,91
M,43,4,178,40
M,41,3,30,30
M,63,1,163,105
M,47,4,351,37
F,51,1,183,122
F,36,9,139,18
M,35,9,73,3
F,42,3,149,49
M,24,9,363,2
M,48,3,30,27
M,56,2,235,28
F,37,3,267,35
F,34,9,268,3
M,39,4,218,30
F,23,8,179,3
M,43,3,54,44
M,28,8,116,3
F,27,7,327,1
M,37,3,111,23
M,27,10,240,3
F,26,8,178,0
F,43,3,191,44
F,34,8,205,13
M,50,3,196,64
M,58,2,310,177
F,35,9,32,15
M,47,3,173,37
M,55,2,170,73
F,51,1,45,45
M,40,3,159,65
F,65,2,221,85
M,63,1,180,95
M,43,3,101,40
F,45,4,147,48
F,38,2,105,13
M,65,2,240,73
F,18,7,241,2
F,33,8,126,0
M,37,8,169,16
F,54,2,254,71
F,55,1,131,68
M,37,7,54,3
M,35,9,359,9
F,47,3,266,60
M,61,1,53,53
F,21,9,251,0
F,63,1,210,94
F,37,9,58,7
F,46,4,152,32
F,62,2,139,121
M,32,7,298,10
M,45,3,361,38
M,46,3,71,32
M,32,9,102,1
M,65,2,264,51
F,64,1,92,92
M,42,3,30,30
F,33,7,106,7
M,18,8,190,0
M,40,4,73,4
M,60,1,180,131
F,36,9,265,7
F,60,1,90,90
M,35,10,187,17
M,35,8,258,17
M,33,7,314,18
M,39,8,127,13
F,53,3,87,87
M,26,8,363,2
F,47,4,30,30
M,34,7,30,9
F,56,1,128,85
M,32,8,164,1
F,24,8,44,3
M,63,3,147,121
F,45,2,155,54
F,37,7,364,13
M,41,3,224,24
M,43,3,175,47
F,46,4,297,38
F,61,3,269,123
F,53,2,245,100
M,20,7,163,5
M,58,2,201,25
F,46,3,30,30
F,61,2,157,66
M,29,8,188,1
M,35,9,237,8
M,26,7,213,1
F,24,10,108,0
F,36,8,104,23
F,22,7,150,5
F,29,7,214,3
M,33,8,334,15
M,56,2,52,52
M,38,9,213,1
F,55,1,279,3
F,59,1,363,51
M,58,2,229,10
M,48,3,41,41
M,45,3,302,68
F,36,8,225,6
M,57,2,235,61
M,28,7,30,5
M,24,9,116,3
M,41,3,30,24
M,44,3,30,30
M,27,8,248,3
M,65,1,222,51
F,45,3,94,43
F,63,1,284,111
F,31,7,279,18
M,45,4,36,20
M,65,2,227,64
M,46,3,124,40
M,63,2,249,73
F,34,7,182,10
M,39,3,135,35
M,39,8,265,8
F,52,2,198,34
M,63,2,239,73
M,45,3,242,7
M,63,3,208,3
M,34,8,208,3
M,34,7,217,16
F,46,4,198,10
M,49,2,107,28
F,41,3,228,15
M,31,7,52,17
F,62,2,109,66
F,23,8,356,0
M,40,2,304,58
F,42,3,268,42
F,34,9,153,9
F,24,9,30,3
M,37,3,172,26
F,51,1,323,135
M,32,8,209,3
M,38,3,207,45
F,39,8,226,17
M,44,3,148,43
F,32,8,199,4
F,44,3,206,33
F,33,8,204,13
F,41,3,365,32
M,43,3,184,1
F,22,9,139,0
F,23,9,64,0
F,41,3,68,38
F,21,9,298,0
M,23,7,363,3
F,25,7,137,1
F,56,1,175,66
F,34,8,45,12
M,25,9,246,1
M,25,9,141,2
F,35,9,257,13
M,48,3,30,30
F,40,3,230,50
F,33,8,241,9
F,45,2,350,43
F,45,3,211,61
M,44,3,140,26
F,45,4,231,21
F,42,2,121,41
M,35,7,75,6
M,41,3,127,47
F,33,7,224,6
M,65,1,347,27
F,32,8,112,11
M,36,9,153,17
F,57,1,190,105
M,64,1,138,138
M,36,4,243,21
M,46,4,171,41
M,44,2,173,30
F,36,7,66,7
F,65,2,30,30
M,47,2,341,32
M,39,3,315,15
F,34,8,178,2
M,43,3,93,31
F,62,1,178,71
F,41,3,336,45
F,44,3,365,24
F,44,2,36,22
F,50,2,365,39
F,36,8,311,10
M,27,7,227,4
M,38,2,184,29
M,30,8,168,2
F,22,9,122,2
M,21,9,293,5
M,36,8,117,22
M,44,3,257,27
M,44,2,50,28
M,25,8,30,1
